code,course_name,description
GREK-3591,Selected Topics,"Special study in fields not covered by other courses. Variation in credit according to work performed, from 1-6 hours. May be taken more than once, as content varies.  Prerequisites: GREK 2402, 2303, or the equivalent, and consent of the department chair."
GREK-3691,Selected Topics,"Special study in fields not covered by other courses. Variation in credit according to work performed, from 1-6 hours. May be taken more than once, as content varies.  Prerequisites: GREK 2402, 2303, or the equivalent, and consent of the department chair."
GREK-4291,Selected Topics,"Special study in fields not covered by other courses. Variation in credit according to work performed, from 1-6 hours. May be taken more than once, as content varies.  Prerequisites: GREK 2402, 2303, or the equivalent, and consent of the department chair."
GREK-4591,Selected Topics,"Special study in fields not covered by other courses. Variation in credit according to work performed, from 1-6 hours. May be taken more than once, as content varies.  Prerequisites: GREK 2402, 2303, or the equivalent, and consent of the department chair."
GREK-4691,Selected Topics,"Special study in fields not covered by other courses. Variation in credit according to work performed, from 1-6 hours. May be taken more than once, as content varies.  Prerequisites: GREK 2402, 2303, or the equivalent, and consent of the department chair."
LATN-4591,Selected Topics,"Special study in fields not covered by other courses. Variations in credit according to work performed, from 1-6 hours. May be taken more than once, as content varies.  Prerequisites: LATN 2302 or the equivalent, and consent of the department chair."
LATN-4691,Selected Topics,"Special study in fields not covered by other courses. Variations in credit according to work performed, from 1-6 hours. May be taken more than once, as content varies.  Prerequisites: LATN 2302 or the equivalent, and consent of the department chair."
COMM-1094,Internship Experience,"Supervised, off-campus work experience in media-related field. Consent of department chair required.  May be repeated for up to 3 credit hours.  This course may be taken for either zero credit or for one credit.  (offered every semester.)"
COMM-1110,Apprenticeship in Communication Center Media: Publication Production,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1120,Apprenticeship in Communication Center Media: KRTU Radio Host/Trainee,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1121,Apprenticeship in Communication Center Media: KRTU News,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1122,Apprenticeship in Communication Center Media: KRTU Sports,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1123,Apprenticeship in Communication Center Media: KRTU Audio Production,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1130,Apprenticeship in Communication Center Media: Digital Editing,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1131,Apprenticeship in Communication Center Media: TigerTV production,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1140,Apprenticeship in Communication Center Media: Webpage Production,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1150,Apprenticeship in Communication Center Media: Public Relations,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1160,Apprenticeship in Communication Center Media: Underwriting and Development,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1170,Apprenticeship in Communication Center Media: Media Management,"Positions for students in one of the student- managed media organizations that provide news and entertainment services and programming for the campus and San Antonio area media.  Assignments in writing, reporting, electronic production, and other positions are based on client needs and apprentices' interests, experience, and performance.  Time and performance requirements depend on the structure and nature of each organization.  Apprentices work under the direct supervision of student managers, faculty, and staff advisors.  Pass/Fail.  Apprenticeship may be repeated up to 3 hours."
COMM-1194,Internship Experience,"Supervised, off-campus work experience in media-related field. Consent of department chair required.  May be repeated for up to 3 credit hours.  This course may be taken for either zero credit or for one credit.  (offered every semester.)"
COMM-1301,Mass Media,Study of the communication process and critical analysis of the structural relationships within mass media industries.
COMM-1302,Introduction to Film Studies,"This course is an introduction to the artistic, cultural, and scholarly importance of film. The course focuses on the development of film as a complex art form, the evolution of narrative as part of a formal system, the development of the industry and film genres, critical and cultural approaches to film analysis, and the construction of the audience. Students will read excerpts from primary texts as well as more general texts dealing with film interpretation and criticism. (Also listed as FILM 1301.)"
COMM-2302,Media Texts,"A critical study of the aesthetics, interpretation, and criticism of media messages."
COMM-3145,Media Communication Workshop,"Media communication production and procedures, to be offered at initiative of the faculty and announced during preregistration.  Course may be repeated with department approval.  1-6 semester hours.  Prerequisite: COMM 2302 or consent of instructor"
COMM-3180,Research Lab: Healthy Relationships,"This course is geared toward the development and application of advanced research skills; such as, literature review writing, study design, data collection, and manuscript writing. Students will participate in ongoing faculty-led research projects. The course will meet one hour per week, with 2 additional hours devoted to various research activities. This course will be graded on a Pass/Fail basis, and may be repeated for up to 3 credit hours. (Also listed as HCOM 3180.)   Prerequisites: consent of instructor."
COMM-3198,Honors Readings,Independent study in selected areas in preparation for Honors Thesis. May be taken for up to three hours of credit. Prerequisite: Admission to the departmental Honors Program.
COMM-3245,Media Communication Workshop,"Media communication production and procedures, to be offered at initiative of the faculty and announced during preregistration.  Course may be repeated with department approval.  1-6 semester hours.  Prerequisite: COMM 2302 or consent of instructor"
COMM-3298,Honors Readings,Independent study in selected areas in preparation for Honors Thesis. May be taken for up to three hours of credit. Prerequisite: Admission to the departmental Honors Program.
COMM-3303,Media Audiences,"A study of audiences, how they use and are affected by media. Prerequisites: COMM 1301 and 2302 or Consent of Instructor"
COMM-3320,History of World Cinema,"This course covers the history of world cinema from the 1890s to the present. Topics include the invention of cinema, silent-era film movements, technologies of sound and color, film and ideology, New Wave cinemas around the world, and recent trends in transnational and digital cinema. Close analysis of films from a wide variety of industries and periods, including films from Hollywood, the Soviet Union, Japan, Mexico, India, France, Hong Kong, and Iran. Also listed as FILM 3320."
COMM-3321,Arts Criticism,"Integration and understanding of the role of the artist, the audience, and the critic in relation to the arts."
COMM-3322,International Communication,"Studies communication as an essential component of international organizations and relations. Surveys major topics in international communication and international decision-making, comparative media systems and national philosophies, and Third World issues and policy development.  (Also listed as HCOM 3374.)  Prerequisite: COMM 1301 or permission of instructor."
COMM-3323,Environmental Communication in Asia,"This class analyzes media discourses, including  news media and social media, about prominent  cases of pollution, clean up, or other issues  related to the environment in an Asian country,  such as China. Through such analysis, this class  explores the relationships among the media,  government, public, and environmental groups  within the context of that particular country. It  provides a close look at the country's  environmental issues and how various social  forces contest over the discourse of the issues.  (Offered every other year.)  Prerequisite: COMM 1301 or Consent of instructor"
COMM-3324,Popular Culture in Asia,"Although lopsided cultural flows once favored  American media products, global communication  networks have amplified the reach and power of  Asian cultural products such as Korean popular  music, Japanese animation, and Chinese cinema.  This course investigates the social/historical  context, form, and content of specific  manifestations of popular culture in Asia, paying  close attention to the ways this material is  influenced by global cultural elements and  received by global audiences. The specific  country and perspective will vary, depending upon  the instructor. (Offered every other year.)  Prerequisite:  COMM 1301 or consent of instructor"
COMM-3325,Special Topics in Communication Media,"Study and analysis of contemporary communication media topics offered at the initiative of the faculty.  Past topics have addressed issues of representation in media, media effects, political communication, media criticism, and the role of various media in society.  May be repeated when topics vary. Prerequisites: COMM 1301 or Consent of Instructor"
COMM-3326,History of Mass Media,"A survey and analysis of American mass media from the rudimentary colonial newspaper through the 20th century development of radio, television and film. Media contributions to the flow of information, opinion and culture will be studied as a counterpoint to changes in social and political processes. Prerequisite: COMM 1301."
COMM-3327,Topics in Black Media Studies,"This seminar will explore various aspects of media stemming from and influenced by various Black communities around the world - with particular emphasis on African American media. Students will engage with original media, remixes, and scholarly materials, and critically analyze media (movies, comics, advertising, etc.) through various lenses, including critical race theory, rhetoric, visual communication, and digital media analysis. By the end of this course, students will have a deeper understanding of Black media, and its influence on wider media trends. They will also be able to apply culture-centered criticism to the media they engage with. Specific topics (such as Black pop culture, Afrofuturism, and Black queer rhetoric in media) will be offered on a rotating basis. May be taken more than once, provided topics vary. (Offered every other year.) Prerequisites:  Comm 1301 or consent of instructor."
COMM-3328,"Media, Culture and Technology","Examines the economic, historical and social context of evolving communication technologies and how media help to structure, maintain, and alter power relations in contemporary society. Special attention is given to the creation and maintenance of subcultural groups by and through the media.  Prerequisites: COMM 1301 and Junior status."
COMM-3340,Media Writing,"Understanding and using the written word by conceptualizing, gathering information, researching, writing, and editing a variety of material. Classes may stress one or more genres, formats, or themes. Past topics have covered magazine writing, news writing, broadcast writing, public relations writing, public affairs reporting, Internet journalism, and cultural affairs reporting. May be repeated when topics vary. Will be offered for either 3 or 4 semester hours.   Prerequisite: COMM 2302 or consent of instructor.  "
COMM-3341,Audio Communication,"Understanding and using audio through conceptualizing, gathering information, writing, editing, and producing aural communication. Classes may stress one or more genres, formats, or themes.  Past topics have addressed community radio and alternative communication.  May be repeated when topics vary.  Will be offered for either 3 or 4 semester hours.  Prerequisite: COMM 2302 or consent of instructor"
COMM-3342,Visual Communication,"Understanding and using visual communication techniques through conceptualizing, creating, and editing visual media productions. Classes may stress one or more genres, formats, or themes. Past topics have addressed narrative fictional video production, documentary, and theory and practice of montage. May be repeated when topics vary. Will be offered for either 3 or 4 semester hours.   Prerequisite: COMM 2302 or consent of instructor.                         "
COMM-3343,Print Communication,"Understanding and using print editorial techniques and graphics through conceptualizing, gathering information, writing, editing, and producing print publications. Classes may stress one or more genres, formats, or themes. Past topics have covered magazine production/publishing, and newsletter production. May be repeated when topics vary.  Will be offered for either 3 or 4 semester hours.  Prerequisite: COMM 2302 or consent of instructor."
COMM-3344,Interactive Multimedia Communication,"Understanding and using interactive multimedia techniques through conceptualizing, gathering information, writing, editing, and producing content for the Internet and the World Wide Web. Classes may stress one or more genres, formats, or themes. Past topics have addressed web design, virtual world promotions, game design, and ethnography of massively multiplayer online games. May be repeated when topics vary. Will be offered for either 3 or 4 semester  hours.   Prerequisite: COMM 2302 or consent of instructor "
COMM-3345,Media Communication Workshop,"Media communication production and procedures, to be offered at initiative of the faculty and announced during preregistration.  Course may be repeated with department approval.  1-6 semester hours.  Prerequisite: COMM 2302 or consent of instructor"
COMM-3346,Video Communication,"Workshop on the theory and practice of video  production. Students write, photograph, and edit  short video projects, while considering the  relationship between audiovisual style and  meaning.  May be repeated when topics vary. Will be offered  for either 3 or 4 credit hours. (Offered every  semester.)  Prerequisite: COMM 2302"
COMM-3354,Quantitative Research Methods,"This course provides an overview of quantitative research methods and statistical analysis. Students will learn the basic elements of social scientific inquiry, including: 1) quantitative research design and methodologies; and 2) statistical analysis and hypothesis testing procedures. Students will display their knowledge by applying quantitative research methods to help understand and predict social phenomena . (Also listed as HCOM 3354.)(Offered every semester)."
COMM-3357,Sport Media,"This course will critically examine the relationship between sport media issues such as race, gender, sexuality, nationalism, capitalism/consumerism, violence, and civic life. Ethical implications and the impact of social will also be explored.  (Also listed as SPMT 3317.)  Prerequisite: COMM 1301 or SPMT 1312 or Consent of  Instructor"
COMM-3360,Principles of Public Relations,"Covers both principles and techniques of public relations from the management and social science viewpoint of managing ideas, publics, corporate or personal images. Prerequisite: COMM 1301."
COMM-3361,Principles of Advertising,"Advertising fundamentals in relationship to modern marketing activities, audience analysis, and the planning of advertising campaigns. Prerequisite: COMM 1301."
COMM-3362,Media Law and Policy,"Study of issues in the contemporary media policy environment with special focus on ""freedom of the press"" in relation to emerging electronic communication technologies. The course adopts a broad historical and cultural approach to the role of the First Amendment in a democratic system (including defamation and libel), and emphasizes the study of the legal relationships that govern the interaction of individuals, groups, and institutions."
COMM-3363,Media Management,"A survey of major management concerns in the print and electronic media. Specific areas to be covered include personnel, organization, programming and content policies, regulation, finance, sales, audiences, and administrative problems in newspapers, magazines, radio, television, cable, and Internet.  Prerequisite: COMM 1301."
COMM-3364,Ethics and the Mass Media,"A study of the ethical decisions, going beyond mere legal restrictions, that media practitioners must face in the range of material they present to the public. Survey of literature and case studies.  Prerequisite: COMM 1301."
COMM-3372,Intercultural Communication,"An introductory survey of the basic theories, research, and applications aimed at understanding and improving communication across racial, ethnic, religious, and cultural differences. It focuses on local, national, and global contexts with attention to the challenges created by identity, language, and nonverbal codes in achieving mutual understanding. (Also listed as HCOM 3372.) (Offered every other year.)  Prerequisite: COMM 1301"
COMM-3398,Honors Readings,Independent study in selected areas in preparation for Honors Thesis. May be taken for up to three hours of credit. Prerequisite: Admission to the departmental Honors Program.
COMM-3440,Media Writing,"Understanding and using the written word by conceptualizing, gathering information, researching, writing, and editing a variety of material. Classes may stress one or more genres, formats, or themes. Past topics have covered magazine writing, news writing, broadcast writing, public relations writing, public affairs reporting, Internet journalism, and cultural affairs reporting. May be repeated when topics vary. Will be offered for either 3 or 4 semester hours.   Prerequisite: COMM 2302 or consent of instructor.  "
COMM-3441,Audio Communication,"Understanding and using audio through conceptualizing, gathering information, writing, editing, and producing aural communication. Classes may stress one or more genres, formats, or themes.  Past topics have addressed community radio and alternative communication.  May be repeated when topics vary.  Will be offered for either 3 or 4 semester hours.  Prerequisite: COMM 2302 or consent of instructor"
COMM-3442,Visual Communication,"Understanding and using visual communication techniques through conceptualizing, creating, and editing visual media productions. Classes may stress one or more genres, formats, or themes. Past topics have addressed narrative fictional video production, documentary, and theory and practice of montage. May be repeated when topics vary. Will be offered for either 3 or 4 semester hours.   Prerequisite: COMM 2302 or consent of instructor.                         "
COMM-3443,Print Communication,"Understanding and using print editorial techniques and graphics through conceptualizing, gathering information, writing, editing, and producing print publications. Classes may stress one or more genres, formats, or themes. Past topics have covered magazine production/publishing, and newsletter production. May be repeated when topics vary.  Will be offered for either 3 or 4 semester hours.  Prerequisite: COMM 2302 or consent of instructor."
COMM-3444,Interactive Multimedia Communication,"Understanding and using interactive multimedia techniques through conceptualizing, gathering information, writing, editing, and producing content for the Internet and the World Wide Web. Classes may stress one or more genres, formats, or themes. Past topics have addressed web design, virtual world promotions, game design, and ethnography of massively multiplayer online games. May be repeated when topics vary. Will be offered for either 3 or 4 semester  hours.   Prerequisite: COMM 2302 or consent of instructor "
COMM-3445,Media Communication Workshop,"Media communication production and procedures, to be offered at initiative of the faculty and announced during preregistration.  Course may be repeated with department approval.  1-6 semester hours.  Prerequisite: COMM 2302 or consent of instructor"
COMM-3446,Video Communication,"Workshop on the theory and practice of video  production. Students write, photograph, and edit  short video projects, while considering the  relationship between audiovisual style and  meaning.  May be repeated when topics vary. Will be offered  for either 3 or 4 credit hours. (Offered every  semester.)  Prerequisite: COMM 2302"
COMM-3545,Media Communication Workshop,"Media communication production and procedures, to be offered at initiative of the faculty and announced during preregistration.  Course may be repeated with department approval.  1-6 semester hours.  Prerequisite: COMM 2302 or consent of instructor"
COMM-3645,Media Communication Workshop,"Media communication production and procedures, to be offered at initiative of the faculty and announced during preregistration.  Course may be repeated with department approval.  1-6 semester hours.  Prerequisite: COMM 2302 or consent of instructor"
COMM-4190,Directed Studies in Communication,Independent study that allows advanced students to work on specified projects under the supervision of departmental faculty. 1-6 semester hours.  Prerequisites: Advanced students who demonstrate competence in specific areas of study in communications; upper-class standing and permission of instructor.
COMM-4290,Directed Studies in Communication,Independent study that allows advanced students to work on specified projects under the supervision of departmental faculty. 1-6 semester hours.  Prerequisites: Advanced students who demonstrate competence in specific areas of study in communications; upper-class standing and permission of instructor.
COMM-4390,Directed Studies in Communication,Independent study that allows advanced students to work on specified projects under the supervision of departmental faculty. 1-6 semester hours.  Prerequisites: Advanced students who demonstrate competence in specific areas of study in communications; upper-class standing and permission of instructor.
COMM-4395,Communication Capstone Seminar,"Students will select one of three options to demonstrate their understanding of communication theories and practices: (1) A traditional research paper; (2) A professional paper that investigates a communication issue or serves a client; (3) A significant creative project. In all options, a major component of the capstone course is research and analysis.  Prerequisites: Senior or rising senior standing and COMM 1301, 2302, and 3303."
COMM-4398,Honors Thesis,Individual research and scholarly investigation under faculty supervision leading to the preparation of an honors thesis. To be taken only by senior honors students in both terms of their senior year. Includes participation in senior colloquium where students present reports on their Thesis work.
COMM-4399,Honors Thesis,Individual research and scholarly investigation under faculty supervision leading to the preparation of an honors thesis. To be taken only by senior honors students in both terms of their senior year. Includes participation in senior colloquium where students present reports on their Thesis work.
COMM-4490,Directed Studies in Communication,Independent study that allows advanced students to work on specified projects under the supervision of departmental faculty. 1-6 semester hours.  Prerequisites: Advanced students who demonstrate competence in specific areas of study in communications; upper-class standing and permission of instructor.
COMM-4590,Directed Studies in Communication,Independent study that allows advanced students to work on specified projects under the supervision of departmental faculty. 1-6 semester hours.  Prerequisites: Advanced students who demonstrate competence in specific areas of study in communications; upper-class standing and permission of instructor.
COMM-4690,Directed Studies in Communication,Independent study that allows advanced students to work on specified projects under the supervision of departmental faculty. 1-6 semester hours.  Prerequisites: Advanced students who demonstrate competence in specific areas of study in communications; upper-class standing and permission of instructor.
CSCI-1120,Low-Level Computing,"Seminar on concepts of computing that are close to the machine level.  The course teaches skills such as command line processing and programming in a language that exposes more of the underlying machine.  Internal data representations will also be explored.  Prerequisite: CSCI 1311 or 1320, or consent of instructor"
CSCI-1300,Essential Information Technology,"Introduction to computers and technology in an academic environment, including critical analysis regarding the nature of information itself. Computing hardware, software, files, and formats. Text processing and quantitative analysis. Information management.  Graphics, image processing, and visualization.  Communication, networking, and the internet.  Information ethics, privacy, and legal use of software and data. Solution of problems in these areas with emphasis on information literacy.  No credit after completion of CSCI 1321."
CSCI-1304,Computers and Society,"An examination of the impact of computer technology on issues of society and culture. The course will contain several components: an introduction to computing (software and hardware concepts); an introduction to problem-solving using one or more high-level languages/software applications to include information retrieval and processing (numeric, text, and graphics); computer communications; and discussions of the uses and ethical issues surrounding computers in our society. No credit after completion of CSCI 1300, 1320 or 1321."
CSCI-1311,Introduction to Programming Logic,"Introduction to the basics of computer programming and algorithmic thinking for non-science majors. The course focuses on the logic and problem decomposition skills that are critical for understanding computation.  Use of a high-level programming language will stress creativity in problem solving using computation, and impart a hands-on understanding of the process of programming.  The course will cover many of the most important concepts in programming and computer science, including choice, repetition, and abstraction.  No prior experience in programming is necessary.  This course assumes familiarity with high school algebra, geometry, and trigonometry."
CSCI-1312,Introduction to Programming for Engineering,"Introduction to programming and algorithmic thinking, taught using tools that emphasize an understanding of the hardware. Top-down design and analysis of algorithms. Computer organization and data representation. Computer programming solutions to several laboratory exercises."
CSCI-1320,Principles of Computer Science I,"Intended for Computer Science majors and others who need this specific course to meet requirements in other departments.  The course is a concept-­-oriented introduction to programming and algorithmic problem solving principles. Topics include top-­-down design; searching and sorting strategies; recursion; computational complexity and analysis of algorithms; and the limits of computation. Aspects of computer organization; computer solutions to problems in graphics, user interfaces, and file manipulation.  Computer programming solutions to several laboratory exercises.  Prerequisites: First-­-Year or Sophomore standing; or consent of instructor."
CSCI-1321,Principles of Computer Science II,"Focus on object-oriented programming and the development of software to solve larger problems that can benefit from this approach.  Abstraction, polymorphism, multithreading, and networking. Program correctness and program verification, algorithm analysis, and computational complexity. User defined structures, data types.  Abstract data types including stacks, queues, linked lists, trees, and heaps.  Computer programming solutions to several laboratory exercises.  Prerequisite: CSCI 1320 or consent of instructor."
CSCI-1323,Discrete Structures,"Elements of discrete mathematics of particular importance in computer science: propositional and predicate logic; proof techniques, including mathematical induction; recursive functions, definitions, and algorithms; proofs of program correctness; algebra of sets; relations and functions; and elements of the theory of directed and undirected graphs. Application of these structures to various areas of computer science.  Prerequisite: One of CSCI 1311, CSCI 1312, CSCI 1320, or consent of instructor."
CSCI-2094,Computer Science Colloquium,"Departmental Colloquium on research, professional issues, ethics, and other topics."
CSCI-2195,Competitive Programming,Approaches to algorithmic problem solving; practice with problems that are commonly found in programming competitions.  Focuses on the languages and tools used in the annual ACM International Collegiate Programming Competition.  May be taken a maximum of four (4) semester hours of credit.    Prerequisite:  CSCI 1320 or knowledge of programming
CSCI-2320,Principles of Data Abstraction,"Abstract data types and their implementation in an object-oriented environment. Axiomatic systems describing the classical computer science data structures: stacks, queues, lists, trees, graphs, and the like. Analysis of the computational complexity of alternative implementation strategies in the context of the typical algorithmic applications.  Prerequisite: CSCI 1321 and 1120"
CSCI-2321,Principles of Computer Design,"A study of computer organization and design including emphasis on logical design, the role of performance, the structure of instructions, computer arithmetic, processor control, and methods of performance enhancement. Some attention will also be given to assembly programming.  Prerequisite: CSCI 1321,CSCI 1120."
CSCI-2322,Principles of Functional Languages,"An introduction to functional programming. Functional composition, recursion, and iteration. Procedure and data abstraction using functions. Managing state, streams, delayed evaluation, and continuations. Using functional languages as an analytic notation for reasoning about programs. Solution of several laboratory problems."
CSCI-2323,Scientific Computing,"Numerical and text processing methods with problems chosen from the sciences and mathematics. Focuses on the general idea of how computational science has expanded the realm of what is possible in the sciences.  Builds on basic programming knowledge to give students understanding and skills as to how computers are used in the sciences.  Prerequisite: CSCI 1320, MATH 1311."
CSCI-2324,Numerical Calculus,"Introduction to the numerical algorithms fundamental to scientific computer work. Elementary error analysis, interpolation, quadrature, linear systems of equations, and introduction to the numerical solution of ordinary differential equations. (Also listed as MATH 2324.)  Prerequisites: CSCI 1320, MATH 1311."
CSCI-3090,Directed Study,"Credit will vary depending on work done.   Prerequisites: CSCI 1323, 2320, and Junior standing"
CSCI-3094,Seminar,"Topics will vary depending on student interest. May be taken for a maximum of six (6) semester hours of credit.  Prerequisites: CSCI 1323, 2320, and junior standing."
CSCI-3190,Directed Study,"Credit will vary depending on work done.   Prerequisites: CSCI 1323, 2320, and Junior standing"
CSCI-3193,Special Topics in Theory,"Topics will vary depending on student and faculty interest.  May be taken for a maximum of six (6)semester hours of credit.  Prerequisite: CSCI 1321 and 1323, or consent of instructor."
CSCI-3194,Seminar,"Topics will vary depending on student interest. May be taken for a maximum of six (6) semester hours of credit.  Prerequisites: CSCI 1323, 2320, and junior standing."
CSCI-3195,Special Topics in Applications,"Topics will vary depending on student and faculty interest.  May be taken for a maximum of six (6)semester hours of credit.  Prerequisite: CSCI 1321 and 1323, or consent of instructor."
CSCI-3196,Special Topics Systems,"Topics will vary depending on student and faculty interest.  May be taken for a maximum of six (6) semester hours of credit.  Prerequisite: CSCI 1321 and 1323, or consent of instructor."
CSCI-3197,Special Topics in Design,"Topics will vary depending on student and faculty interest.  May be taken for a maximum of six (6) semester hours of credit.  Prerequisites:  CSCI 1321 and 1323, or consent of Instructor; CSCI 3321 is recommended"
CSCI-3215,Advanced Unix Command-Line Tools,"Beyond the basics of traditional UNIX/Linux command-line tools. Topics typically include basic shell features, shell scripting, the UNIX ""make"" utility, LaTeX, text editors, regular expressions, and simple commands for text processing, as well as how these tools interoperate and can be used together to accomplish things that would be tedious to do without them. Students are encouraged to reflect on how this ecosystem of tools compares to that of mainstream GUI-based tools. (Offered every other year.)  Prerequisite: CSCI 1320, or consent of instructor."
CSCI-3290,Directed Study,"Credit will vary depending on work done.   Prerequisites: CSCI 1323, 2320, and Junior standing"
CSCI-3293,Special Topics in Theory,"Topics will vary depending on student and faculty interest.  May be taken for a maximum of six (6)semester hours of credit.  Prerequisite: CSCI 1321 and 1323, or consent of instructor."
CSCI-3294,Seminar,"Topics will vary depending on student interest. May be taken for a maximum of six (6) semester hours of credit.  Prerequisites: CSCI 1323, 2320, and junior standing."
CSCI-3295,Special Topics in Applications,"Topics will vary depending on student and faculty interest.  May be taken for a maximum of six (6)semester hours of credit.  Prerequisite: CSCI 1321 and 1323, or consent of instructor."
CSCI-3296,Special Topics Systems,"Topics will vary depending on student and faculty interest.  May be taken for a maximum of six (6) semester hours of credit.  Prerequisite: CSCI 1321 and 1323, or consent of instructor."
CSCI-3297,Special Topics in Design,"Topics will vary depending on student and faculty interest.  May be taken for a maximum of six (6) semester hours of credit.  Prerequisites:  CSCI 1321 and 1323, or consent of Instructor; CSCI 3321 is recommended"
CSCI-3311,Information Assurance and Security,"A contemporary introduction to the broad area of security in computing systems, exploring issues that abound when attempting to secure information in an interconnected society.  An information- based examination of risk modeling, assessment and management; ethics; policies and behaviors; cryptography; code security; data security; operating system security; and network security. Approaches to assure information confidentiality, integrity, and availability(CIA).  Prerequisite: CSCI 1321 or BAT 2302"
CSCI-3312,Introduction to Game Development,"An introduction to the various aspects of the computer game creation process including coding, game play, narrative development, and artwork. Students will explore the tools and methods of game design and will also work in groups to design and implement a two-dimensional, non-networked game.  Prerequisite: CSCI 2320, 3321 is recommended."
CSCI-3320,Principles of Theoretical Computer Science,"Core topics from finite automata, languages and the theory of computation. The Chomsky hierarchy, abstract machines and their associated grammars. Models of computation (e.g., Turing machines), Church's thesis, unsolvability, and undecidability. Computational complexity, intractability, and NP-completeness.  Prerequisites: CSCI 1323"
CSCI-3321,Principles of Software Engineering,"Issues involved in developing large-scale software systems. Models for the software lifecycle; techniques and tools of analysis, design, programming, testing, debugging, and maintenance. May include formal methods, CASE, expert systems, case studies.  Prerequisites: CSCI 2320, 1323, and Junior standing."
CSCI-3322,Principles of Algorithms,"Exploration of standard algorithm construction methods for solving varied problems including a comparison of the different efficiencies of these algorithms when implemented using different data structures.  Methods will include branch and bound, backtracking, memoization, greedy algorithms, and dynamic programming. Heuristic-based methods to find non-optimal solutions are also explored, especially for intractable problems.  Prerequisite: CSCI 2320"
CSCI-3323,Principles of Operating Systems,"Introduction to operating systems.  Role and purpose of operating systems.  History of operating systems.  Processes and process management, including a discussion of concurrency and related issues.  Memory management. Input/output and device management.  File systems. Operating system security.  Prerequisite: CSCI 2321."
